Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1025,FALSE,/rp6aXM2EWkaUdq6zbSlhUOY2869.jpg,"[80, 10749, 53]",438689,en,Siberia,"Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him.",15.568,/eGfIsvdrUhTlQOkxQIELU7obDYj.jpg,13-07-18,Siberia,FALSE,4.8,462,2000000,2006704,Germany,Crime,,2020
1029,FALSE,/lk5hfcUf6oAibrkyshaXtSjBzda.jpg,"[28, 35, 80]",417644,en,CHiPS,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.,15.544,/mIHA8Xf6WmxbS83ia4vQ5ojvxV8.jpg,23-03-17,CHiPS,FALSE,6.1,1103,25000000,26800152,United States of America,Action,,2020
1030,FALSE,/c4jwzF8rAD3c2YpPlRwrDAxWzT3.jpg,"[14, 10751, 12, 28, 35]",471968,ru,Последний богатырь,"Ivan is an ordinary guy who is transferred from modern Moscow to the fantasy world Belogorye. In this parallel universe where characters of Russian fairy tales live, magic is an integral part of daily life, and arguments are settled with the help of sword . Unexpectedly, Ivan finds himself in the middle of a battle between good and evil, and he must discover why everyone thinks that he must play the main role in upcoming events...",15.534,/ynMOyBo8xrWQiMvMJUhge4hVlse.jpg,19-10-17,The Last Warrior,FALSE,6.9,126,8250000,30060061,Russia,Fantasy,,2020
1033,FALSE,/zxY1yP9FjJpV7T3hxqBBI5WNydx.jpg,"[18, 10752, 36]",403300,en,A Hidden Life,Austrian farmer Franz Jägerstätter faces the threat of execution for refusing to fight for the Nazis during World War II.,15.513,/rdG4jfH0rxkB2FgkYmjj9V4Q31M.jpg,11-12-19,A Hidden Life,FALSE,7.1,518,9000000,4612788,Germany,Drama,,2020
1034,FALSE,/5om2iHhm2dgv0s2YgPDSEMIkRNx.jpg,"[35, 14, 10402, 10749]",515195,en,Yesterday,"Jack Malik is a struggling singer-songwriter in an English seaside town whose dreams of fame are rapidly fading, despite the fierce devotion and support of his childhood best friend, Ellie. After a freak bus accident during a mysterious global blackout, Jack wakes up to discover that he's the only person on Earth who can remember The Beatles.",15.512,/1rjaRIAqFPQNnMtqSMLtg0VEABi.jpg,27-06-19,Yesterday,FALSE,6.7,3329,26000000,88092097,United Kingdom,Comedy,,2020
1036,FALSE,/dR64XOEucCT2nEg47DeEaeMaD9F.jpg,"[80, 18, 9648]",396461,en,Under the Silver Lake,"Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.",15.481,/cJ9aKlEgTLYtpYjNqin06YqJRUl.jpg,21-06-18,Under the Silver Lake,FALSE,6.4,1054,8500000,2053469,United States of America,Crime,,2020
1038,FALSE,/kuOvQ9TqsZwleNVNmHRJiIyzsKx.jpg,"[16, 18, 9648, 36]",339877,en,Loving Vincent,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,15.439,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg,22-06-17,Loving Vincent,FALSE,8.1,2161,5500000,42187665,United Kingdom,Animation,,2020
1043,FALSE,/ygo9GFcNv7WLi37Bdqg89XnUfmi.jpg,"[12, 14, 10751]",611014,uk,Фокстер і Макс,"The twelve-year-old schoolboy Max escapes from the house and hides under the bridge. There he finds a spray can of nano-paints, and draw a graffiti of a dog. Unexpectedly painted graffiti comes alive and turns into dog-nanorobot with super powers. And now both of them are hunted by a dangerous criminal who will not stop at anything in order to seize this powerful technology. Guy Max falls into a whirlpool of adventure, through which he finds true friends.",15.407,/cnKrr3FEcSg8BUep7nc3q1ANqsL.jpg,19-09-19,Foxter and Max,FALSE,6.9,49,1522860,0,Ukraine,Adventure,,2020
1045,FALSE,/AhwEkJY1RRna8M0dcSAhR9aCeF4.jpg,"[53, 27]",459928,en,12 Feet Deep,Two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night.,15.384,/3B4MLYYr5WTjQiJMbA8fCFF8M4O.jpg,20-06-17,12 Feet Deep,FALSE,5.6,385,0,6158,United States of America,Thriller,,2020
1047,FALSE,/BjLgTDAcZc94KomcQAxMVye0yI.jpg,"[10749, 18]",642208,en,Supernova,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",15.38,/xpLi04zHu36TH8nuvFAwAF3LUkq.jpg,20-11-20,Supernova,FALSE,6.9,240,0,2506542,United Kingdom,Romance,,2020
1049,FALSE,/yR4UgI9AslQ4kd3qa1kDwxChJWs.jpg,"[18, 53]",418437,en,Unforgettable,"Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.",15.351,/jKyjJu3N0bcF9TzcyGLb0Nn6Uqq.jpg,06-03-17,Unforgettable,FALSE,5.8,558,12000000,17768012,United States of America,Drama,,2020
1050,FALSE,/sega8RtajHVT8JbbdoYBAbikaXj.jpg,"[27, 14, 18]",428399,en,Cold Skin,A young man who arrives at a remote island finds himself trapped in a battle for his life.,15.35,/yYDNVAckvOHH9v6EGVB73cMyZgZ.jpg,20-10-17,Cold Skin,FALSE,6.2,486,9831962,0,France,Horror,,2020
1051,FALSE,/z30NXJEY4YDBWEL0ICHGtv4Mt26.jpg,"[10751, 35, 16, 12]",387592,en,Early Man,"Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport.",15.343,/hXukFwTKOe7izDsf3ZOdeYikRxF.jpg,26-01-18,Early Man,FALSE,6.2,681,50000000,53431158,France,Family,,2020
1055,FALSE,/zh1M8fE2vQ0BKxYzIvMYan7ryV.jpg,"[878, 18, 53, 27]",549294,en,Synchronic,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",15.269,/wgm4gdJwb7iSYX0uBsRAZmHQmPm.jpg,23-10-20,Synchronic,FALSE,6.3,574,0,1019041,United States of America,Science Fiction,,2020
1057,FALSE,/ygWKYTu7OnZKF9H5NsgjL9iURGV.jpg,"[28, 53, 80]",480042,en,Escape Plan: The Extractors,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured. Now he and his team must pull off a deadly rescue mission to confront their sadistic foe and save the hostages before time runs out.",15.231,/r15SUgzjL8bablcdEkHk9T7TSRl.jpg,20-06-19,Escape Plan: The Extractors,FALSE,5.3,679,3600000,0,United States of America,Action,,2020
1062,FALSE,/kR48L1E3OLOkQcnlmpi5wDj7ZZt.jpg,"[80, 18]",180863,en,T2 Trainspotting,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",15.176,/xlbpCwa9OXXIiNgXcwuompHFIk9.jpg,27-01-17,T2 Trainspotting,FALSE,6.9,2765,18000000,42067430,United Kingdom,Crime,,2020
1063,FALSE,/uN6v3Hz4qI2CIqT1Ro4vPgAbub3.jpg,"[28, 35]",454992,en,The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when Audrey’s ex-boyfriend shows up at their apartment with a team of deadly assassins on his trail.,15.175,/tpPERI5i6yjT73jYWyZ9iWltQ9L.jpg,02-08-18,The Spy Who Dumped Me,FALSE,6.4,1978,40000000,33562069,Canada,Action,,2020
1064,FALSE,/431KEqTcCkKIjIF5Vl22yP8LJGT.jpg,"[35, 53]",596054,es,La odisea de los giles,"In a town in the Northwest of the province of Buenos Aires, a group of neighbors is organized to recover the economy of the area, but when the corralito is implemented in the country and they suffer a fraud, their hopes disappear. Now, they will unite to recover the lost money and give the blow of their lives to their greatest enemy.",15.165,/9MaAzW8sERDcIEYORE7jzeCew3P.jpg,15-08-19,Heroic Losers,FALSE,7.7,477,0,7364054,Argentina,Comedy,,2020
