Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
737,FALSE,/zaBvhoIt9kGsA2dVuVrhZDhKOcP.jpg,"[16, 35, 12, 10751]",463116,uk,Викрадена принцеса: Руслан і Людмила,"This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didn’t even suspect that she is the King’s daughter. However, the lovers’ happiness wasn’t meant to last too long. Chernomor, the evil sorcerer, appeared in a magic vortex and stole Mila right before Ruslan’s eyes to transform her power of love into his own magic power. Without further ado, Ruslan sets out on a chase after the stolen princess to overcome all obstacles and to prove that real love is stronger than magic.",16,/4v6MoBcbCSI5Kw6AQVYLTJHfxrO.jpg,07-03-18,The Stolen Princess,FALSE,6.8,109,0,6914017,Ukraine,Animation,tt5378092,2019
738,FALSE,/iRl2k4TMhfESV2W3ygu3OmIVVwh.jpg,"[18, 36]",339380,en,On the Basis of Sex,Young lawyer Ruth Bader Ginsburg teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of sex discrimination.,15.963,/izY9Le3QWtu7xkHq7bjJnuE5yGI.jpg,25-12-18,On the Basis of Sex,FALSE,7.4,877,20000000,38673750,United States of America,Drama,tt4669788,2019
740,FALSE,/u4huTFYxr1hgrtmRq1Jj7wDicgi.jpg,"[878, 53]",548066,en,Level 16,"The teenage girls of Vestalis Academy are meticulously trained in the art of being “clean girls,” practicing the virtues of perfect femininity. But what exactly are they being trained for? Vivien intends to find out.",15.937,/kILAL9kJdW3f6wk9Ai0tavgi6mp.jpg,20-02-18,Level 16,FALSE,6.8,486,0,15575,Canada,Science Fiction,tt4006302,2019
742,FALSE,/vU43BQihl4lcLWHqb3NdpsDL32U.jpg,"[53, 18, 9648, 14]",529216,es,Durante la tormenta,"During a mysterious thunderstorm, Vera, a young mother, manages to save a life in danger, but her good deed causes a disturbing chain of unexpected consequences.",15.913,/oLO9y7GoyAVUVoAWD6jCgY7GQfs.jpg,30-11-18,Mirage,FALSE,7.5,1527,0,17325485,Spain,Thriller,tt6908274,2019
743,FALSE,/dhX8LZJkREFmRcrbEGNkf6EE0OL.jpg,"[28, 53, 80]",410554,en,First Kill,A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage.,15.912,/zoia9YSg82UNYbtum9QYjKSqdLw.jpg,21-07-17,First Kill,FALSE,5.7,479,10000000,0,United States of America,Action,tt5884234,2019
744,FALSE,/Ad0O2lK5XHu1iBywSH039l5dGgA.jpg,"[28, 35]",513045,en,Stuber,"After crashing his car, a cop who's recovering from eye surgery recruits an Uber driver to help him catch a heroin dealer. The mismatched pair soon find themselves in for a wild day of stakeouts and shootouts as they encounter the city's seedy side.",15.91,/gqk7ndiGn9WUT5UDTm6KHwGTv3m.jpg,11-07-19,Stuber,FALSE,6.7,1093,16000000,32400000,United States of America,Action,tt7734218,2019
745,FALSE,/A7jNTrY1nVRhZed4KuwyhohpKrm.jpg,"[35, 10749]",459992,en,Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.",15.9,/m2ttWZ8rMRwIMT7zA48Jo6mTkDS.jpg,02-05-19,Long Shot,FALSE,6.7,2273,40000000,0,United States of America,Comedy,tt2139881,2019
746,FALSE,/sqlQt6Orr2hEOb7fekhjCefhiED.jpg,"[18, 35]",397422,en,Rough Night,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most.",15.893,/ttC00xcQ5UIO04kU8y0h5OAIYYJ.jpg,15-06-17,Rough Night,FALSE,5.7,1812,20000000,45056771,United States of America,Drama,tt4799050,2019
747,FALSE,/o7X9xJaD81AyQzfi6dquOl90IeI.jpg,"[14, 18]",419831,en,I Kill Giants,"Sophia, a new high school student, tries to make friends with Barbara, who tells her that “she kills giants,” protecting this way her hometown and its inhabitants, who do not understand her strange behavior.",15.871,/cvit6HDbXHE6W5kGPd47jd0wthQ.jpg,21-01-18,I Kill Giants,FALSE,6.2,1047,15100000,0,Belgium,Fantasy,tt4547194,2019
748,FALSE,/msOjpu9wigi6n1Xa51MeLcBue88.jpg,"[10752, 18, 10749]",468224,en,Tolkien,"England, early 20th century. The future writer and philologist John Ronald Reuel Tolkien (1892-1973) and three of his schoolmates create a strong bond between them as they share the same passion for literature and art, a true fellowship that strengthens as they grow up, but the outbreak of World War I threatens to shatter it.",15.863,/A7eYO3t7oZQdfJj5KlJBI7GhT9H.jpg,03-05-19,Tolkien,FALSE,7,1150,20000000,8654322,United States of America,War,tt3361792,2019
750,FALSE,/1HoDcETfVD3AjcmWxcCVwu5MGj8.jpg,"[18, 53, 10749, 878, 9648]",269795,en,2:22,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",15.861,/rj0h3RnKX5CB8X5UE1PfpMSV4MP.jpg,29-06-17,2:22,FALSE,6,1302,0,3945729,Australia,Drama,tt1131724,2019
753,FALSE,/AftdgExni4I71XpSSlC7hZljv26.jpg,"[18, 10749]",417678,en,"Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",15.794,/c8W3Go48Mw0GoNXsGK4W9hNO4Vf.jpg,18-05-17,"Everything, Everything",FALSE,7.3,3494,10000000,61621140,United States of America,Drama,tt5001718,2019
754,FALSE,/h5jqLrIv1tlszezv2UEWq9KBuoj.jpg,"[18, 36]",446354,en,The Post,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.,15.786,/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg,22-12-17,The Post,FALSE,7,4076,50000000,179769467,United States of America,Drama,tt6294822,2019
756,FALSE,/gN72pP8YxwdPPRTxyg7OL4l0EQg.jpg,"[10749, 18]",434203,en,Newness,"In contemporary Los Angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",15.76,/vySlYPqOrI5s8Nu6bzpGKQbotVy.jpg,03-11-17,Newness,FALSE,6.1,542,10000000,0,United States of America,Romance,tt6408226,2019
757,FALSE,/cHDbJb1dhqFTglAkLChnq4kgU0r.jpg,"[27, 9648, 53]",551808,en,Black Christmas,"During Christmas break, the women at Hawthorne College start being preyed upon by an unknown stalker. Riley, a girl dealing with her own trauma, decides to take matters into her own hands before her and her friends are murdered too.",15.747,/iMBlUzqwpz9ffbeLsYjyHPp8tn8.jpg,11-12-19,Black Christmas,FALSE,4.6,438,5000000,18529730,New Zealand,Horror,tt10481868,2019
760,FALSE,/pHacxfbJEHjYO9aChwdZKclPM09.jpg,"[28, 35, 53, 9648]",345915,en,Once Upon a Time in Venice,"Steve Ford is a private detective in Venice Beach, Calif., who's good with the ladies, bad with the punches and wild about his dog Buddy. When local thugs steal Buddy, Ford turns to Spyder, their devious leader, and forges an unlikely alliance. With help from his best friend, Steve pulls out the big guns to retrieve Spyder's stolen cash and cocaine and save Buddy.",15.711,/5rr7tQfzS0ARqEea3W9SNSFGRzb.jpg,08-06-17,Once Upon a Time in Venice,FALSE,5.2,536,0,855888,United States of America,Action,tt4694544,2019
761,FALSE,/jVUR1W6cq8VuT4A6N4fd2yDNhji.jpg,"[16, 10751, 14, 35, 12, 9648]",370567,en,Sherlock Gnomes,"Garden gnomes, Gnomeo & Juliet, recruit renown detective, Sherlock Gnomes, to investigate the mysterious disappearance of other garden ornaments.",15.69,/wqnzpJR3PwS4doVkAkt9seSEpoX.jpg,15-03-18,Sherlock Gnomes,FALSE,5.6,612,59000000,90497778,United Kingdom,Animation,tt2296777,2019
762,FALSE,/jSOomjSssNJdU7Hrf3CROkNSv6n.jpg,"[53, 18]",397415,en,Vengeance: A Love Story,"When a new friend is brutally assaulted, Detective John Droomor is put by chance in charge of the investigation. Although the evidence against the perpetrators seems overwhelming, there is nothing definitive in the case that guarantees justice is served, even more so if some people are willing to twist and betray it.",15.666,/kPUFcGPI9FChybFHIJJBZZLiIlg.jpg,16-03-17,Vengeance: A Love Story,FALSE,5.6,233,0,4526,United States of America,Thriller,tt5460530,2019
