Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
0,FALSE,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 14, 878]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",6579.615,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,19-10-22,Black Adam,FALSE,7.3,2508,200000000,384571691,United States of America,Action,tt6443346,2022
1,FALSE,/7zQJYV02yehWrQN6NjKsBorqUUS.jpg,"[28, 18, 36]",724495,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",3881.892,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,15-09-22,The Woman King,FALSE,7.9,615,50000000,91000000,Canada,Action,tt8093700,2022
2,FALSE,/kmzppWh7ljL6K9fXW72bPN3gKwu.jpg,"[14, 28, 35, 80]",1013860,en,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",2530.599,/g4yJTzMtOBUTAR2Qnmj8TYIcFVq.jpg,15-11-22,R.I.P.D. 2: Rise of the Damned,FALSE,6.7,207,130,78324220,United States of America,Fantasy,tt21094994,2022
3,FALSE,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",1798.687,/ps2oKfhY6DL3alynlSqY97gHSsg.jpg,09-11-22,Black Panther: Wakanda Forever,FALSE,7.5,1213,250000000,733000000,United States of America,Action,tt9114286,2022
4,FALSE,/au4HUSWDRadIcl9CqySlw1kJMfo.jpg,"[80, 28, 53]",829799,en,Paradise City,Renegade bounty hunter Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,1796.896,/xdmmd437QdjcCls8yCQxrH5YYM4.jpg,11-11-22,Paradise City,FALSE,6.3,40,20000000,0,United States of America,Crime,tt14656632,2022
5,FALSE,/c1bz69r0v065TGFA5nqBiKzPDys.jpg,"[35, 10751, 10402]",830784,en,"Lyle, Lyle, Crocodile","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",1131.919,/irIS5Tn3TXjNi1R9BpWvGAN4CZ1.jpg,07-10-22,"Lyle, Lyle, Crocodile",FALSE,7.8,137,50000000,79761937,Italy,Comedy,tt14668630,2022
6,FALSE,/olPXihyFeeNvnaD6IOBltgIV1FU.jpg,"[27, 9648, 53]",882598,en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",1120.904,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,23-09-22,Smile,FALSE,6.8,1043,17000000,214000000,United States of America,Horror,tt15474916,2022
7,FALSE,/yNib9QAiyaopUJbaayKQ2xK7mYf.jpg,"[18, 28, 10752]",966220,uk,Снайпер. Білий ворон,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",960.86,/lZOODJzwuQo0etJJyBBZJOSdZcW.jpg,03-05-22,Sniper: The White Raven,FALSE,7.7,146,1000000,0,Ukraine,Drama,tt19465630,2022
8,FALSE,/198vrF8k7mfQ4FjDJsBmdQcaiyq.jpg,"[878, 28, 12]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",771.137,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,14-12-22,Avatar: The Way of Water,FALSE,0,0,400000000,0,United States of America,Science Fiction,tt1630029,2022
9,FALSE,/tlin6STxxVoln0f818sEQYH7PyC.jpg,"[27, 53]",663712,en,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",705.297,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,06-10-22,Terrifier 2,FALSE,7,714,250000,10155347,United States of America,Horror,tt10403420,2022
