,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
814,False,/xIBiJGC7XV0YwejvPO4j5vUfav5.jpg,"[18, 10749]",446156,id,Galih & Ratna,Two teenagers face demands from their families that do not care about what they want. They only have each other to encourage and pursue their dreams.,1.644,/h535RItHGEWr181lNRFPuZGRGLv.jpg,2017-03-09,Galih & Ratna,False,7.0,7
815,False,/7M2jVFQOOO6OTLpNmh2V1FZmsmp.jpg,"[878, 18, 53]",446164,ja,散歩する侵略者,"Narumi is on bad terms with her husband, Shinji, when, one day, Shinji goes missing. He comes back a couple of days later, but he seems like a totally different person, and he is now gentle and tender. He goes for a walk every day. Meanwhile, journalist Sakurai covers the story of a family that was brutally murdered, when an unexplained phenomenon takes place. Shinji Kase tells his wife that he came to Earth to invade.",9.018,/hU6akn1JzH0tl4bHlVfJS7rxeao.jpg,2017-09-16,Before We Vanish,False,6.4,58
816,False,/fNefgkrnYuXkKVq2bCYnZLBbHS0.jpg,[99],446173,en,Ex Libris: The New York Public Library,A documentary about how a dominant cultural and demographic institution both sustains their traditional activities and adapts to the digital revolution.,5.261,/5UAtolZFuOFYqUpHcDYamsVKWvb.jpg,2017-09-13,Ex Libris: The New York Public Library,False,6.4,54
817,False,/zAyq2m8rFPsL0IHV3IrlP8Vr344.jpg,[18],446178,fr,Marvin ou la belle éducation,"Unable to fit in at school, Marvin's life was changed forever when he discovered his passion for the theatre. With no support from his family, Marvin ran away from home to chase his dreams of becoming an actor. As an adult, he struggles to write and perform a one-man theatrical show about his childhood.",8.726,/5cKKEduToBtacOTHDJWMSL2SE0A.jpg,2017-11-22,Reinventing Marvin,False,6.7,97
818,False,,[99],446208,en,Meetings with Ivor,"Ivor Browne has been a central figure in Irish mental health for many decades. Some people wish he wasn’t. Yet many people owe their lives to him. Browne somehow managed to be part of the establishment while still being one of its greatest critics. His pioneering and often controversial lifelong work on behalf of the many who cannot speak for themselves is notable. Alan Gilsenan’s new film captures the essence of this extraordinary human being.  In a quirky and challenging cinematic portrait we meet a man, now in his late-eighties, who is still full of energy, good humour and compassion, and who remains a deeply-informed, startlingly innovative thinker. His unique attributes continue to find vital expression and offer real hope in an increasingly bewildering world. With contributions from Tommy Tiernan, Tom Murphy, Mary Coughlan, Sebastian Barry, Nell McCafferty and others.",0.6,/4tY3WjLBy73icUWkD7S4cxKLoT4.jpg,2017-02-10,Meetings with Ivor,False,0.0,0
819,False,/aCHiYE6rIQ3HRE3A5iXuJKFMH4V.jpg,"[27, 9648]",446215,en,The Slayer,Camp counselors fall prey to the vicious killer lurking in the deserted camp grounds.,1.652,/v4E2FLWP89KLhPphjh6thMbIHoA.jpg,2017-02-27,The Slayer,False,5.6,31
820,False,,"[35, 18]",430708,en,Les Contes d'Hoffman,"This adaptation of three tales by E.T.A. Hoffmann, with a sprinkling of Goethe’s Faust, portrays the German poet as both narrator and hero recounting his love affairs with Olympia, Antonia and Giuletta. Robert Carsen’s spectacular production highlights the melancholy genius of a man marked by life, with a coherence and dramatic sense remarkable for a work that leaves numerous questions unanswered. Under the baton of Philippe Jordan, Stéphanie d’Oustrac, Ermonela Jaho, Kate Aldrich, Yann Beuron and Ramón Vargas and Stefano Secco in the main role, interpret the legendary airs of this work whose brilliant mystery will continue to dazzle opera houses for countless years to come.",0.6,,2017-11-15,Les Contes d'Hoffman,False,0.0,0
821,False,/3sSn2rVb0jMrfXu6cHZqF5PC7up.jpg,"[35, 10402]",430780,en,"Michael Bolton's Big, Sexy Valentine's Day Special","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",6.784,/jrTzDKugY8ay5A3Z66IdSiNniPE.jpg,2017-02-07,"Michael Bolton's Big, Sexy Valentine's Day Special",False,6.3,48
822,False,,[99],522914,en,Sweet Daddy Siki,"Reginald ""Sweet Daddy"" Siki is a professional wrestling icon, successful country music singer, and household name. This is his story, told by wrestling icons, celebrities, fascinating historians, family, friends, and the legend himself.",1.436,/9qH3UruDahXgTCLSeSsTIQx4WKi.jpg,2017-06-11,Sweet Daddy Siki,False,0.0,0
823,False,,[16],522943,en,Tennessee,A story about love and the future of the world.,0.6,/eMgKl7rMjiIcN8IVrcgSxIuzFqx.jpg,2017-05-01,Tennessee,False,0.0,0
824,False,/OtcH36wVZeLBmLNFcLl46Mj1oW.jpg,[16],522944,en,Shock Therapy,"Jim is afraid of everything. In order to face his fears, Jim will bring everything he is afraid of into his house. It doesn't quite work out as expected..",0.6,/kAQAgwME0M998sq2h0hG3n79nDN.jpg,2017-03-14,Shock Therapy,False,5.0,1
825,False,,[16],522954,en,Heart Chakra,"Now take a deep breath, and open up your Heart Chakra.",0.6,,2017-05-03,Heart Chakra,False,0.0,0
