,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget ,revenue,Country,Genre
1125,FALSE,,14,528231,id,Cayasukma,"Alâ€™ya, a light-miner girl, desperately needs the help of her father, Quâ€™rai, to perform a forbidden sacred â€˜Kirakiraâ€™ lightdance to resurrect an ancient being before they are stopped by a mob of angry villagers.",0.6,/srmkl10NigJ2vAyDzXxYXfex2il.jpg,42812,Lightdancer,FALSE,4.5,2,44084.33064,54314.30548,Indonesian,Fantasy
1126,FALSE,/zD9VL3Ks4esUXLyfiBHfHrYeTH9.jpg,,528236,en,Quiasma,"A dance film that captures the research and choreographic process of Javier MartÃ­n for his work â€˜the exform,â€™ performed for the first time in September 2016 at the Teatro ColÃ³n of A CoruÃ±a, Spain. Filmed on 16mm, QUIASMA explores the intersection between performing and visual arts in a context of collective research around the arts of movement.",0.6,/aRqyVV143Tj9WM8n3aBiXZfv06p.jpg,42736,Quiasma,FALSE,0,0,4928.814149,66492.49284,English,
1127,FALSE,,,528294,en,Deforestation,A short documentary about mankind destroying nature to build.,0.6,/5oMK8XBGshzk9CoPG2v4lkd1mSH.jpg,42820,Deforestation,FALSE,0,0,72205.26992,26992.98465,English,
1128,FALSE,/m7obvQ3HXYbKVWAWsab3gkIQtsY.jpg,18,528296,en,The Open Door,"Sam and the life he shares changes the attitude of his family, friends and community toward those with special needs.",1.224,/cq9sfW1EQMAqPDVyJWMUqjAIfvy.jpg,42887,The Open Door,FALSE,0,0,3279.854029,68105.09389,English,Drama
1129,FALSE,/eAMjcYCYu068lOHBeHNKUJuhlwK.jpg,35,434864,it,La guerra dei cafoni,"Global politics in a fairytale nutshell: the eternal struggle between the ruling elite and the underclass, condemned to ignorance.",2.097,/wJpkeCoQB1z8PtiWXfZovYQJJwU.jpg,42852,The War of Bumpkins,FALSE,6.8,21,55200.24145,21631.85932,Italian,Comedy
1130,FALSE,,99,434867,de,Intelligente BÃ¤ume,"Trees talk, know family ties and care for their young? Is this too fantastic to be true? German forester Peter Wohlleben and scientist Suzanne Simard have been observing and investigating the communication between trees over decades. And their findings are most astounding.",2.043,/rwGVvT6bIpk1T7Mfg1sdpaDGTBs.jpg,43005,Intelligent Trees,FALSE,7.6,8,62872.88041,14129.51948,German,Documentary
1131,FALSE,/2HTrliR56cGky7ZMKK386ygIe2W.jpg,99,434870,fr,RÃ©volution silencieuse,,0.6,/iOBdUDrDMnwnqCmh4g3e8GhTdU8.jpg,42760,RÃ©volution silencieuse,FALSE,6,1,95374.58692,13143.03761,French,Documentary
1132,FALSE,/jO9CIWgPu0FeKPPRyTSHneiXZqm.jpg,16,434872,en,Mickey and the Roadster Racers,"Mickey Mouse and his pals Minnie, Pluto, Goofy, Daisy and Donald take their unique transforming vehicles on humorous high-spirited races around the globe as well as hometown capers in Hot Dog Hills.",1.225,/jBCq60wLmxmP74sN8KJNM1mfwO2.jpg,42750,Mickey and the Roadster Racers,FALSE,5.8,4,91059.1316,92013.65954,English,Animation
1133,FALSE,/yN5hCwnpzpNFplZUo2ty4FHxh5e.jpg,35,434884,pt,Malapata,Two friends who win the lottery have the worst day of their lives with constant bad luck and unexpected turn of events.,0.767,/q3js3Zexz5EDOaAvL9vm4FsPwzv.jpg,42810,Malapata,FALSE,6.4,4,45001.98696,88372.94343,Portuguese,Comedy
1134,FALSE,,99,434906,en,The Empowerment Project: Ordinary Women Doing Extraordinary Things,"The Empowerment Project: Ordinary Women Doing Extraordinary Things is the incredible journey of 5 female filmmakers driving across America to encourage, empower, and inspire the next generation of strong women to go after their career ambitions. Driving over 7,000 miles from Los Angeles to New York over the course of 30 days, the documentary spotlights 17 positive and powerful women leaders across a variety of lifestyles and industries. Along the way, these filmmakers relay the candid insight on how these women define their success, what it takes to be a woman in their position, and valuable advice on how to improve the female role in the workplace. In celebration of the all-female focus in front of and behind the camera, the filmmakers turned the cameras on themselves, capturing their transformational journey. Created for women by women, they challenge the audience to ask themselves, ""What would you do if you weren't afraid to fail?""",0.6,,42752,The Empowerment Project: Ordinary Women Doing Extraordinary Things,FALSE,0,0,24595.91292,16606.68782,English,Documentary
1135,FALSE,,99,434914,en,Fruition - The Life and Dreams of Nicolas MuÌˆller,"Nicolas MuÌˆller is one of the most revered and iconic snowboarders of all time. Including his childhood, the film offers an opportunity to get to know the king of style like never before. Almost entirely in his own words, Nicolas takes you through the important events in his life which lead him to where he is today. The film reveals that one of his central goals is to demonstrate the importance of following ones intuition. To learn how to rely on this relationship with yourself and to enjoy the journey it takes you on. We live in a world which typically demands us to obey things we might not believe in. Nicolas shows how he tackled these obstacles in order to find his true path, a conscientious path towards self realization.",0.657,/xfCwR4XvXuCtCO1JJz9f8EmOVTW.jpg,42752,Fruition - The Life and Dreams of Nicolas MuÌˆller,FALSE,7,2,67307.80079,80283.75987,English,Documentary
1136,FALSE,,99,434918,en,Grant Langston: Motocross Training with the Champ,"Few riders in professional motocross have elevated themselves to the level achieved by South Africa's Grant Langston. Just off his 18th birthday, the teen speedster from Durban won the first of many motocross titles on his way to clinching the 2000 F.I.M. 125cc World Championship aboard a Factory KTM. With all this experience, Grant decided to share his vast knowledge with you in this one-of-a-kind production.",0.6,/kCsuMPSYuVu4rJju76fBz8KhUso.jpg,42752,Grant Langston: Motocross Training with the Champ,FALSE,0,0,67300.49837,77050.01702,English,Documentary
1137,FALSE,,10751,434919,de,Eltern und andere Wahrheiten,,0.634,/soRwdmDFrO8WrAU8Eexx94rzYfd.jpg,42888,Eltern und andere Wahrheiten,FALSE,5,1,32847.47443,45198.79272,German,Family
1138,FALSE,,18,434921,en,Jerusalem,"Two brothers, James and William Jenkins, volunteer to fight for Britain in the trenches of WW1. James wants adventure, William wants to keep his younger brother safe. The reality of war will test their bond to breaking point.",0.6,/h53XWzKF4AJuqSZM3n04V8AGN9I.jpg,42749,Jerusalem,FALSE,0,0,97880.23013,21543.73889,English,Drama
1139,FALSE,,18,434922,it,Videotape,"Suburbs of Rome (Italy), Summer of 1993. On top of a wide valley, a group of four kids has built a small shelter in which they spend the afternoons after schooltime. On one of those summer afternoons, the kids take their bikes and go for a journey through the paths of Tolfa and Allumiere. Suddenly, they discover a beautiful medieval farmstead. They don't know it yet, but what they'll find in it will change their lives forever.",0.877,/iTW5JXnSeCLM8ou17JFa7v0RaOi.jpg,42739,Videotape,FALSE,10,1,41697.72534,99452.47955,Italian,Drama
1140,FALSE,,99,434923,en,Surfers' Blood,"Surfing is all about mankind's intimate connection with the badass energy and beauty of nature. It is a deep bond, and for many, surfing is a lifelong devotion and a spiritual outlet - a personal experience far removed from its much-hyped and commercialized public persona. For most surfers, surfing is in their blood and it connects them to an extended family that is linked through practice, tradition, craft, emulation, apprenticeship, and shared experience. Surfers' Blood reaches out to those hardcore, dyed-in-the-wool surfers through an honest and beautiful portrayal of their sport and its surrounding culture, while at the same time offering outsiders a peek into the intense undiluted world of surf.",1.4,/epxmlyXpaKdGh4jLydHBsQXBs33.jpg,42752,Surfers' Blood,FALSE,0,0,26270.95023,12165.97083,English,Documentary
