Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1290,FALSE,/aTZ6gDClNk31kaAgjSrFEapXfZ7.jpg,"[28, 35, 80]",429698,en,Pork Pie,"A trio of accidental outlaws travel the length of New Zealand, protesting conformity and chasing lost love, with a posse of cops and a media frenzy in pursuit.",5.339,/rVq78wlHLWTf1QQ0BzdcBeg8vM.jpg,02-02-17,Pork Pie,FALSE,6.4,45,0,847307,New Zealand,Action,tt4834220,2017
1294,FALSE,/8jn2hq7AsXi4XW064vmokPnIBCV.jpg,[99],393561,en,Risk,"Capturing the story of WikiLeaks founder Julian Assange with unprecedented access, director Laura Poitras finds herself caught between the motives and contradictions of Assange and his inner circle in a documentary portrait of power, betrayal, truth and sacrifice.",5.299,/rxrkcyNNughClOL8j8qwNgY9xI5.jpg,05-05-17,Risk,FALSE,6.7,56,0,197621,Germany,Documentary,tt4964772,2017
1310,FALSE,/yQY4YqoN4PlasfJYZuV3MDHIYfm.jpg,[35],413391,en,A Few Less Men,Travel plans for three men in ill-fitting wedding tuxedos goes horribly wrong.,5.21,/1FR3KCSLB6b9WMrZPir0JioMvcQ.jpg,09-03-17,A Few Less Men,FALSE,5.6,55,0,380806,Australia,Comedy,tt3784652,2017
1314,FALSE,/rZwmA9WtrntPnaR8urEPIYoI8Hy.jpg,"[28, 27]",462115,en,Dead Trigger,"2021 - 5 years after the outbreak of a mysterious virus that turned humans into bloodthirsty, undead beasts much of the world’s population has been decimated. When governments were unable to keep the disease at bay, the Contagion Special Unit was formed with the toughest soldiers and best specialists to fight the infected. Because of the rapidly decreasing number of soldiers, a popular online video game Dead Trigger that mirrors the terrifying events was created. The best efforts of the gamers are monitored by the CSU who recruit the highest rated zombie killers. The young recruits are called “Dead Triggers”. The movie follows a group of young recruits who must travel to the origin of the outbreak to find a missing team of scientists who were searching for a cure.",5.205,/7x1bfCPgFOIszdboGAHNwFagkt2.jpg,19-07-17,Dead Trigger,FALSE,3.7,32,10000000,151493,United States of America,Action,tt5662550,2017
1326,FALSE,/8G6ecVHlBSDD7YnoLfZ9rAtbnVO.jpg,"[35, 18, 10751]",447916,it,"La verità, vi spiego, sull'amore","Dora, raises her two children with the help of her eccentric family, free-spirited best friend, and a charming poet-turned- nanny.",5.146,/udA49ZVjWcf7FX5D4IzUyyUxnOK.jpg,30-03-17,The Truth About Love Is...,FALSE,5.6,112,2469509,0,Italy,Comedy,tt5802944,2017
1327,FALSE,/affYr5pL3tyVzqmJTb26Ir6csqv.jpg,"[53, 28]",412096,ta,மாநகரம்,A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.,5.144,/vZjFz8O1xy8TSe6EGNsLtUzA1DZ.jpg,10-03-17,Maanagaram,FALSE,7.6,38,779000,1550000,India,Thriller,tt5559528,2017
1335,FALSE,/dWk0xV6oz8Fk8exPyWAOy2dINjg.jpg,"[10749, 35]",471892,hi,शुभ मंगल सावधान,A couple fall in love but then the groom discovers that he suffers from erectile dysfunction.,5.107,/z1P1wDTW54UgVrRICq9kn5LiOHX.jpg,31-08-17,Shubh Mangal Saavdhan,FALSE,6.7,57,3425875,8838757,Not Listed,Romance,tt6971752,2017
1341,FALSE,/zGPLKEasLyKMpeQPOxK6uytjv5G.jpg,"[12, 35, 9648, 10749]",401285,hi,जग्गा जासूस,A gifted teenage detective searches for his missing father with his ladylove assistant.,5.097,/qXZCEyFkNe5cm7xfkUDvV41Xnfh.jpg,14-07-17,Jagga Jasoos,FALSE,6.1,75,19700000,12500000,India,Adventure,tt4129428,2017
1345,FALSE,/5dIWtY5wCvkG9aqVS9ksdqX0CGp.jpg,"[18, 12, 10749, 36]",447236,hu,Kincsem,The new owner of a brilliant race horse finds love while carrying out his revenge on the man who murdered his father.,5.076,/cqNp7KbfoKENdLOEJQggvGGUepJ.jpg,16-03-17,Kincsem,FALSE,7.1,35,10200000,0,Hungary,Drama,tt4964310,2017
1353,FALSE,/HBCV6Sicfi8r39L9GiNvHjqznW.jpg,"[16, 10751, 10402]",470370,en,Thomas & Friends: Journey Beyond Sodor,Join Thomas and his friends in this exciting adventure to the mainland that shows us friendship is more important than being the favorite engine. Can Thomas and the new experimental engines save James and help bring him back to the Island of Sodor?,5.054,/vcn7tM1PZlgthPeAlorSv8YiOfK.jpg,22-08-17,Thomas & Friends: Journey Beyond Sodor,FALSE,6.7,11,0,482723,United Kingdom,Animation,tt6145612,2017
1355,FALSE,/wd7Vx3LI8etvsvKibIAPhHfjuV.jpg,[35],477274,tr,Yol Arkadaşım,"Days before Eid, a salesman fired from his job drives to meet his girlfriend's family, but the trip goes astray due to his zany travel buddy.",5.049,/aG6v0apKeBwcsa2tlhPb6YHqm87.jpg,27-10-17,My Travel Buddy,FALSE,5.7,45,0,6000000,Turkey,Comedy,tt7535792,2017
1367,FALSE,/sDAhbdyPc9qAaNqSqNmiHJgNGNj.jpg,"[35, 10751]",487491,pt,"Fala Sério, Mãe!","Ângela Cristina, mother of teenager Maria de Lourdes, has to deal with the difficulties and delights of guiding her daughter during one of the most complicated stages of life.",4.986,/p4YiseA6zPrXQMAJ7dj9GxCTHmo.jpg,28-12-17,"Fala Sério, Mãe!",FALSE,7.3,213,6100000,0,Brazil,Comedy,tt7744802,2017
1372,FALSE,/euVWDUSMsooaQX3GBXmhpAjGNkH.jpg,"[16, 10751]",425218,de,Die Häschenschule – Jagd nach dem Goldenen Ei,"Rabbit Max, a juvenile shoplifter, gets trapped in an old-fashioned school. With rabbit girl Emmy, he acquires Easter Rabbits' secret skills, battles a sneaky fox family and learns about friendship.",4.963,/6BQyI5qfDNcpuSFPmJEzOfSUFOw.jpg,16-03-17,Rabbit School: Guardians of the Golden Egg,FALSE,6.6,17,0,3416299,Germany,Animation,tt5029776,2017
