,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
758,3776,False,,"[28, 12, 878]",671808,en,Seekers of the Lost Worlds,"After receiving a mysterious tablet from an anonymous source, two unlikely adventurers are sent on a quest for the lost continent of Atlantis.",1.737,/4WCcljfXEeDimg9D28b6StvY3tL.jpg,01-07-17,Seekers of the Lost Worlds,False,0.0,0,40000,0,United States of America,Science Fiction,tt6208624,2017
759,3787,False,,[18],421682,tr,Reis,"Following the life of Recep Tayyip Erdogan, a Turkish politician who has been the 12th President of Turkey since 2014.",1.73,/bZkg7ogAerCq4pwA24wP1mPQ2fx.jpg,02-03-17,Reis,False,1.9,31,8000000,0,Turkey,Drama,tt5988370,2017
760,3794,False,/1jhCnDSNoV7JmC2cf5qQG2lorn8.jpg,"[12, 28, 53]",496681,bn,আমাজন অভিযান,"Anna, an Italian woman, approaches Shankar, an explorer, to accompany her in search of the golden city of El Dorado. He accepts the offer and sets out on an adventure through the Amazon.",1.728,/6nOozjdFiyl4V7i9xasULL9FIc4.jpg,22-12-17,Amazon Obhijaan,False,5.4,7,3082000,7082000,India,Adventure,tt5125414,2017
761,3801,False,/pVGnys3LQ6axEcvMmgi1L2ddXxp.jpg,"[35, 10749]",524034,en,Cook Off,A Zimbabwean single mother's life is turned upside down when her son enters her into a reality TV cooking competition.,1.726,/joEb4B6gMloEJS2nsAqxTUvzGFa.jpg,12-03-17,Cook Off,False,5.6,8,8000,0,Zimbabwe,Comedy,tt7981318,2017
762,3805,False,/k2wWyLe9urPxlLfT89nZt6jmkKf.jpg,"[27, 53]",537101,en,Red Room,"Held hostage in an isolated house, three kidnapped women attempt to escape from their sadistic captors.",1.725,/htDm9mX6S7AXrjuDZOyA9L1O0CH.jpg,26-10-17,Red Room,False,6.0,5,46921,0,Ireland,Horror,tt5738830,2017
763,3804,False,/826t6v3TDIVN6jXkFWjzyfb162I.jpg,[18],465092,he,Love Birds,"A man and a woman meet eachother in a hotel suite for a day full of fantasy, they are celebrating their 10th wedding anniversary and this is their routine celebration. But this year is different. Through this day secrets, lies, will coming out while they are both living their sexual fantasy.",1.725,/d1s5qKGZLCRqXby2yBXXA0BKsqN.jpg,06-07-17,Love Birds,False,6.7,3,74,0,Israel,Drama,tt6076004,2017
764,3822,False,/xZmS2t2EPRddA0yYXtCsSFigozE.jpg,"[12, 35]",462907,es,Cebiche de Tiburón,"Following the crazy advice of two shamans, an aspiring chef appeals to an incredible resource to win a national cooking competition: he publicly commits to personally dive to the bottom of the sea, find a sleeping shark, wake it up and turn it into a ceviche.",1.712,/sGiOBEzozqOZrLMFESggYNrTGwt.jpg,02-02-17,Cebiche de Tiburón,False,2.3,4,15454,45150,Peru,Adventure,tt8532152,2017
765,3826,False,,[18],530032,fr,Sashinka,"When Sasha's mother arrives on her doorstep without warning the young musician is unable to hide her trepidation. As she tries to prepare for the most important concert of her career, the reasons for her mother's visit come to light and Sasha must find a way to survive the remaining 24 hours, confronting both the volatile woman and the past that Sasha had worked so hard to leave behind her.",1.71,/AgmkSiE1vDilCzk8bIg8wqseWa3.jpg,13-10-17,Sashinka,False,6.2,5,180000,0,Canada,Drama,tt7914282,2017
766,3864,False,/6wzqSiZ4JFz0vsofDypRtlIgq6t.jpg,[99],927722,en,Ancient Alien Origins,"Researchers discover that Aliens from another world assisted in the evolution of man and were the genesis of a very real bloodline that remains intact today. The Aliens left Earth millennia ago, but the signs are growing daily.",1.69,/g4jBXRFpCXlItObRiactDt9ev63.jpg,14-02-17,Ancient Alien Origins,False,0.0,0,1000000,0,United States of America,Documentary,tt5818690,2017
767,3873,False,/dwjyFNiY9cBLQIPDtvBkWHtBSRV.jpg,"[10751, 16, 35]",425222,de,Ritter Rost - Das Schrottkomplott,,1.685,/e0zIrqBKvBqwZ48mKFK5D7E4KC2.jpg,19-01-17,Knight Rusty 2: Full Metal Racket,False,5.5,5,0,209309,Germany,Family,tt6198412,2017
768,3878,False,/k0yLO8a0vb0DLlPvCHmUevlxSWo.jpg,[18],450047,ml,ടിയാൻ,"The lives of a vedic scholar Pattabhiramagiri and his family come under threat after a godman and his goons try to displace him from his centuries-old ancestral home as part of building an ashram. The “curse” that befalls Pattabhiraman in the face of opposition leaves him broken, till a mysterious ally lends him his support. Their fight against the evil forces forms the rest of the plot.",1.682,/zI54MejpifV0pzVcFYBGtGtrMUX.jpg,07-07-17,Tiyaan,False,5.7,13,2400000,2000000,India,Drama,tt5780034,2017
769,3892,False,/r6VDERaVGr1WFE3BKBvYirKgxCi.jpg,"[10749, 35, 14]",459674,zh,吃吃的愛,"In this one-of-a-kind fantasy comedy, Didi is an aspiring actress trying to prove herself to her superstar sister. She keeps having the same dream about love affairs of a woman named Xu Chunmei, who owns a spaceship restaurant known for a noodle soup with ancestral secret recipe. After overcoming countless hardships, Didi finally gets her long expected career breakthrough, but life takes unexpected turns at the same time and the truths about her dreams start to unveil. A hilarious and tearful ode to the golden age of local variety entertainment, reputed TV host and best-selling author Kevin Tsai's directorial debut stars his longtime partner Dee Hsu(Little S) in the most influential TV show in the Chinese speaking world, Kangsi Coming.",1.674,/kaHEoRKyBCPlc0RMPOK71v8YyAQ.jpg,27-05-17,DiDi's Dreams,False,7.0,6,0,2748,China,Romance,tt6912580,2017
770,3902,False,/tc2K9ejKEgt2cAOW8ftod31JLzd.jpg,[99],428427,ru,Дорога,"Anything can happen on Russian roads and is precisely shot by the dashboard camera. Super-objective video registration grows into the strong image of Russian national character – with its permanent awaiting for the miracle and habitual approach to real dramas. A forest on fire as a symbol of Russian hell, a military tank at a car wash and car chase in the vicinity of Kremlin shot with a dashboard cam at the same time when Boris Nemtsov, the leader of political opposition, was shot dead near Kremlin. Dashboard cam depicts life in it’s purity as an unbiased observer.",1.667,/2FUojuhiPXhQn2M1H87Ym8dAjr6.jpg,03-03-17,The Road Movie,False,7.1,16,12000,0,Belarus,Documentary,tt6235786,2017
771,3906,False,/2SnkwGClryomvgcWEUpT89uMLMJ.jpg,"[16, 14]",438591,eu,Teresa eta Galtzagorri,"Tim, a newly trained Elf, wanders off from his people and is captured by the local circus. Saved by young Teresa, together they form an unbreakable bond. But the only way to truly save Tim, will be finding a way to get him back to the other Elves.",1.664,/8VXceRjTcFC5IpeV5PlLaBxUDGo.jpg,27-01-17,Elf on the Run,False,6.8,28,0,10205,Spain,Animation,tt6447022,2017
772,3949,False,/zxcuuL8u1CvYTsiqKOIZNFmJEHq.jpg,[10751],543469,en,Crowning Jules,"To get to her Harvard admissions interview, a bright 17-year-old girl is forced to hitch a ride with her twin sister, who is headed to a beauty pageant. Their road trip takes a serious detour when they come into possession of a stolen jewel.",1.642,/nK9c54AuRJwQ1NxjX1h7ZUNKg8R.jpg,21-06-17,Crowning Jules,False,10.0,3,500000,0,United States of America,Family,tt4539912,2017
773,3953,False,/tjyhdTdtbpERyrypoZquo7uc7ul.jpg,"[35, 18, 10751]",422892,ml,മുന്തിരിവള്ളികള്‍ തളിര്‍ക്കുമ്പോള്‍,Panchayat Secretary Ullahanan leads a monotonous life till a college reunion rekindles excitement in his 20-year-old marital life and infuses in him a renewed sense of purpose and love for everything that he once took for granted.,1.64,/rAUZc4E6YOg4z7QPgsmxgRonj10.jpg,20-01-17,Munthirivallikal Thalirkkumbol,False,6.8,14,1300000,6300000,India,Comedy,tt6097918,2017
774,3962,False,,"[35, 10770]",520511,en,Madtown,A scientist has a revelation after his dog dies and leaves his job to start walking dogs.,1.633,,05-05-17,Madtown,False,2.0,1,50000,0,United States of America,Comedy,tt6772996,2017
775,3979,False,/jGinPK3v1ZfmfelzWALf5sgNNwc.jpg,"[28, 18]",469114,ru,Крым,"The film follows a romantic liaison between a young woman from Kiev, who is a supporter of the pro-European Maidan uprising, and a man from Sevastopol who joins the pro-Russian resistance in the aftermath of Maidan’s success in Kiev.",1.627,/5fdiLLg7aRylMxhmQwDWw2EfGq9.jpg,28-09-17,Crimea,False,2.4,29,6900000,5987319,Russia,Action,tt6990206,2017
776,3984,False,/u6NbmHH4JOdpGmaFWspvHabXH64.jpg,[35],489342,de,Anna Fucking Molnar,"The eccentric actress Anna finds herself at the rock bottom of her career and has to realize that her life actually passed her by. The theater premier was a disaster on her account, her ex is already dating a new girl and she definitely exceeded the certain age where it is still okay to get dragged out of the mess by daddy. The house of cards she built so carefully seems to be more fragile than expected. Everything in Annas life begs for a new start to get her back on track. But the only thing coming around at the moment is a firefighter.",1.624,/1jlgnXNCU8D6q34BJl08Xj2A4I3.jpg,24-11-17,Anna Fucking Molnar,False,6.0,3,3100,0,Austria,Comedy,tt7665340,2017
777,3987,False,/jWgRe2WwhK38DGPVTwdSdt4Fv4C.jpg,"[16, 10751]",615960,zh,玩偶奇兵,"Childhood gives life to toys, and so toys safeguard it. The new range of digital entertainment means toys are being left behind. When Laura get obsessed with her new video-game, Minitiger, her favorite toy, goes digital to help her.",1.624,/2Tt1jS6ozVJEYeTDSkZatBrS1UX.jpg,04-08-17,Toy Guardians,False,6.8,30,0,4903790,China,Animation,tt10443322,2017
778,4013,False,/wIzohYLlXHWrNajy6QWVvunUft7.jpg,"[18, 35]",466023,th,มิสเตอร์เฮิร์ท มือวางอันดับเจ็บ,"Don Sri-Chang, a tennis professional and world champion, is left heartbroken when his girlfriend turns down his marriage proposal and dates a rockstar. Dew, his long-lost friend, turns up out of nowhere to help him with the heartbreak.",1.61,/ArBUgpRLgqJIPse0f9JA5chAVrU.jpg,02-02-17,Mr. Hurt,False,6.3,14,850000,0,Thailand,Drama,tt6138706,2017
779,4012,False,/tLvrdJCclOqxpsZTkJceocio2hw.jpg,"[28, 12, 878]",479363,ja,仮面ライダー平成ジェネレーションズFINAL ビルド＆エグゼイドwithレジェンドライダー,"Kamen Riders Build and Ex-Aid team up with the legendary heroes of the Heisei Generation - OOO, Fourze, Gaim, and Ghost.",1.61,/eG2pitTHC8irHHKOUE38WGuW7Hb.jpg,09-12-17,Kamen Rider Heisei Generations FINAL: Build & Ex-Aid with Legend Riders,False,5.1,10,0,10289397,Japan,Action,tt7472924,2017
780,4034,False,,[35],455781,en,Fighting Belle,"When a sassy Southern belle is jilted at the altar by her fighter fiance, she puts on the boxing gloves to get revenge.",1.596,/pMpMV5e0cj0SrhgpNoysj3mm21K.jpg,18-03-17,Fighting Belle,False,8.0,1,15000,0,United States of America,Comedy,tt5662022,2017
