,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1922,False,/8rTzRic2QuZTfv1Dd5idX2YNfKm.jpg,"[10770, 10749]",502970,en,The Wedding Do Over,"Wedding planner Abby (Nicole Gale Anderson) specializes in fixing weddings that went wrong, but when she is forced to work with her ex-fiancé (Parker Young), she soon begins to question whether their relationship was the disaster she remembers.",3.882,/hUI3sWLFrIXNUfhQzz7kfkebZ2j.jpg,2018-02-03,The Wedding Do Over,False,5.6,31
1923,False,/w4Kld4sOabl6yHH4XwQNgmACTOi.jpg,"[18, 10749]",502971,de,Luft,Louk is deep as the sea. Manja is pure as the air. Her love means: No fear. No lie. No trace.,1.743,/u2ZwVTbo1RKDeFjFB6Nl13YOYKw.jpg,2018-07-24,Air,False,4.8,12
1924,False,,[99],502973,de,Die Temperatur des Willens,"For decades, the 'Legionaries of Christ' appeared mainly as a globally acting and rapidly growing community that is very loyal to the Pope. Especially due to their success among the young, many conservative Catholic circles considered the movement a convincing answer to the crisis of faith in the Western world. After an unparalleled abuse scandal surrounding the Mexican founder of the order, however, overall enthusiasm has cooled noticeably. Nevertheless, the remaining members still believe in the validity of the movement's original mission. Even in an increasingly skeptical environment they continue spreading a message that is inspired by a radical faith. The film follows the work of the Legionaries in Germany, thereby giving a rare insight into the mindset and survival strategies of a specific Catholic worldview.",0.6,/cvbrXhKjso7ojYzoN3BP8stncK6.jpg,2018-06-07,Die Temperatur des Willens,False,5.0,3
1925,False,,[18],502981,en,Gonjeshkake ashi mashi,The Story About...,1.176,,2018-01-09,Gonjeshkake ashi mashi,False,0.0,0
1926,False,,"[18, 35]",502989,sv,Att plocka en blomma,"Lisa is 17 and the only one in the class who hasn’t had sex. Sure, she is curious, but it’s not completely easy finding the right person. That she is bound to a wheelchair is not the biggest hurdle. While searching, she is persistently cheered on by her best friend Elsie, who may not always give the best advice.",0.6,,2018-01-26,To Pop a Cherry,False,0.0,0
1927,False,,"[27, 878]",503030,en,South Mill District,"Ten years have passed since the alien war, and now the line between human and alien is blurred. The film follows two vagrants who were once subjects of a dangerous experiment involving the assimilation of alien and human DNA.",0.94,/qXipXLUL3FbQZAjyI6eOIchLaqq.jpg,2018-02-23,South Mill District,False,5.3,3
1928,False,/hqvkyO3bgIK8yaQ9WCFPodSlpB9.jpg,"[80, 10770]",503072,de,Carneval - Der Clown bringt den Tod,"A tricky out-of-area mission for Peter Lohmeyer alias Chief Inspector Jan Fabel in his fourth case: in the hustle and bustle of Cologne Carnival, of all things, the introverted hamburger has to chase a serial killer and stop a colleague from going it alone. Lisa Maria Potthoff plays the policewoman Maria, whose traumatic experience turns into a blind thirst for vengeance, Stipe Erceg can be seen in the role of the burned-out top chef and Murathan Muslu as a macho criminal. The lost souls are what make this bestseller film adaptation by the author Craig Russell, which is extremely exciting right up to the last second.",1.321,/gJapIzufxXa5LRhVJkEzhTIu044.jpg,2018-05-21,Carneval - Der Clown bringt den Tod,False,3.8,5
1929,False,/27i4vXFIj84WNyy5b3D5aW5yXxh.jpg,[35],503088,en,A Lesson in Cruelty,"A power egomaniac is thrown a party, but the attendees have no intention of honoring the hated man, rather to teach him a cruel lesson.",1.335,/hhS2jFBSEfKfCqQrAZa32M4v9aa.jpg,2018-02-02,A Lesson in Cruelty,False,6.0,3
1930,False,,[],503096,en,Bluebird,"A man is a trapped inside a small prison. As he waits, insignificant details catch his attention.",0.6,/bkXb5BIUNIQ5Sc2swIzEoESgpRQ.jpg,2018-01-27,Bluebird,False,0.0,0
1931,False,/4Lz6xt5pCpDTY74HOHALulU6tuM.jpg,[99],503555,en,The Flatwoods Monster: A Legacy of Fear,A look at the Flatwoods Monster case,1.416,/m2LBkaOY5v3aOyqGzfjRCnnPOzQ.jpg,2018-04-06,The Flatwoods Monster: A Legacy of Fear,False,6.8,6
