,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
3736,1055.0,False,/oGe84ddxe2R90hFwvCDxOINE8qL.jpg,"[10752, 36, 28]",535389.0,ko,안시성,"Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies.",13.014,/gv5ByLHZfn7MUKpjJovRTr5URGg.jpg,19-09-18,The Great Battle,False,7.3,107.0,13305000.0,41509280.0,South Korea,War,tt6931414,2019.0
3737,1061.0,False,/FVHgsRGeyjjqWQ35UqQLSOcOWC.jpg,"[35, 10749, 18]",502682.0,en,Book Club,Four lifelong friends decide that their lives could change by becoming nasty and reading Fifty Shades of Grey in their monthly book club to get inspiration on how to handle sexual pleasure at an elderly age.,12.96,/6ORGBbOA45pfKQXvntPf46NoFGO.jpg,18-05-18,Book Club,False,6.2,659.0,10000000.0,78720293.0,United States of America,Comedy,tt6857166,2019.0
3738,1062.0,False,/57LEr2CScU29AwdaYg7OlUGBdR2.jpg,[18],444539.0,en,The Bookshop,"Set in a small English town in 1959, a woman decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield.",12.955,/nh2ZpwuTKjY0tTGcsGu7TwOpT4p.jpg,10-11-17,The Bookshop,False,6.5,359.0,5400000.0,12055868.0,United Kingdom,Drama,tt3127022,2019.0
3739,1065.0,False,/fReqenpUkU83y7rpEMscE5EjoDr.jpg,"[18, 36, 53]",517991.0,ko,공작,"South Korea, 1993. An agent of the National Intelligence Service is sent to Beijing to infiltrate a group of North Korean officials with the ultimate goal of obtaining information about their nuclear program.",12.943,/ib7SNOKqPKLyVXTjhuVJIglTC3E.jpg,08-08-18,The Spy Gone North,False,7.4,143.0,17000000.0,0.0,South Korea,Drama,tt8290698,2019.0
3740,1067.0,False,/7yIoCsxeL2UzjUjULufEzIUlwI4.jpg,"[28, 12, 35, 10751, 14, 36]",434245.0,uk,Сторожова застава,"A solar eclipse activates a magic time portal, and a regular schoolboy Vit'ko from the 21st century goes a thousand years back in time. It doesn’t take Vitya long to recognize the legendary bogatyrs in young Oleshko, powerful Ilya and severe Dobrynya. Their life passes in fighting cumans who try to destroy Rusichi at any cost, using both weapons and black magic. Vitya finds himself in the very midst of incredible events, battles with mythical creatures and acquires real courage.",12.925,/9Vyo740WlMp0C9qCnYp3fXbrOU0.jpg,12-10-17,The Stronghold,False,7.2,186.0,2000000.0,2745966.0,Ukraine,Action,tt5238240,2019.0
3741,1069.0,False,/jua8HIE1NaQp55rb4abecsQsSOm.jpg,"[10752, 18, 10749]",426618.0,en,Where Hands Touch,"Germany, 1944. Leyna, the 15-year old daughter of a white German mother and a black African father, meets Lutz, a compassionate member of the Hitler Youth whose father is a prominent Nazi soldier, and they form an unlikely connection in this quickly changing world.",12.905,/omKzydOrom9kpdfQUE0G9Y9sPl0.jpg,14-09-18,Where Hands Touch,False,8.0,458.0,0.0,128269.0,United Kingdom,War,tt1235187,2019.0
3742,1072.0,False,/pIRrWfRdx5rICNQa960YgOQEgtA.jpg,"[80, 18, 53]",385332.0,en,Terminal,"In the dark heart of a sprawling, anonymous city, two assassins carry out a sinister mission, a teacher battles a fatal illness, and an enigmatic janitor and a curious waitress lead dangerous double lives.  Murderous consequences unravel in the dead of night, as their lives intertwine at the hands of a mysterious criminal mastermind who is hell-bent on revenge.",12.892,/xi7pA3lL6Wb78p6Y6PgWoHDMjrM.jpg,10-05-18,Terminal,False,5.5,667.0,0.0,843970.0,United States of America,Crime,tt4463816,2019.0
3743,1073.0,False,/5otnOEk546lpoBza4otdmaVzKcL.jpg,"[53, 18, 10402]",451751.0,en,American Satan,"A young rock band, half from England and half from the US, drop out of college and move to the Sunset Strip to chase their dreams.",12.891,/hM9dOYWPh5pcQ3ruFXDayXsqgHw.jpg,13-10-17,American Satan,False,7.4,215.0,0.0,237708.0,United States of America,Thriller,tt5451690,2019.0
3744,1083.0,False,/wUnYSCdRZZ4Dumk31ihCcSpYNUJ.jpg,"[16, 12, 35, 14]",508422.0,ja,ペンギン・ハイウェイ,"A fourth-grader investigates the mysterious reason behind the sudden appearance of penguins in his village, which is somehow related to a power from a young woman working at a dental clinic.",12.836,/wMJJk4kkXfqwP5W7wYHWvDXhTlw.jpg,17-08-18,Penguin Highway,False,7.2,178.0,0.0,3902796.0,Japan,Animation,tt8076344,2019.0
3745,1084.0,False,/cXpkDrZWK8amdYXzf24LH67Vftn.jpg,"[53, 80]",529983.0,en,The Poison Rose,"A down-on-his-luck PI is hired by his old flame to investigate a murder. But while the case at first appears routine, it slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies.",12.821,/gSzyUmg719TgAxarFZYWjLLMqvS.jpg,23-05-19,The Poison Rose,False,4.6,270.0,0.0,323754.0,United States of America,Thriller,tt5862166,2019.0
